Attack on Titan,Hajime Isayama,Action,9.99,15
My Hero Academia,Kohei Horikoshi,Superhero,8.99,20
Demon Slayer,Koyoharu Gotouge,Historical,10.99,10
One Piece,Eiichiro Oda,Adventure,7.99,25
Death Note,Tsugumi Ohba,Thriller,12.99,8
Spy x Family,Tatsuya Endo,Comedy,9.49,12
Tokyo Revengers,Ken Wakui,Drama,11.99,18
Jujutsu Kaisen,Gege Akutami,Dark Fantasy,10.49,14
Chainsaw Man,Tatsuki Fujimoto,Horror,9.99,16
Fruits Basket,Natsuki Takaya,Romance,14.99,6
Black Clover,Yuki Tabata,Fantasy,8.99,22
Baki,Keisuke Itagaki,Action,10.99,11
Psycho Pass,Gen Urobuchi,Mystery,9.99,20
Bleach,Tite Kubo,Action,11.99,15
